ducktales2.nsf track=19 framerate=60

Square1(620)
time dur note vol
2.400 0.200 F#5 9
2.600 0.100 G5 9
2.700 0.200 F5 9
2.900 0.300 E5 9
3.200 0.100 C5 9
3.300 0.300 G4 9
3.600 0.200 A4 9
3.800 0.100 B4 9
3.900 0.200 C5 9
4.100 0.100 G4 9
4.200 0.100 A4 9
4.300 0.100 B4 9
4.400 0.100 C5 9
4.500 0.200 G4 9
4.700 0.100 F4 9
4.800 0.200 E4 9
5.100 0.200 E4 9
5.400 0.200 E4 9
5.700 0.200 E4 9
6.000 0.200 D4 9
6.200 0.100 C4 9
6.300 0.200 D4 9
6.500 0.500 E4 9
7.200 0.200 F#5 9
7.400 0.100 G5 9
7.500 0.200 F5 9
7.700 0.300 E5 9
8.000 0.100 C5 9
8.100 0.300 G4 9
8.400 0.200 A4 9
8.600 0.100 B4 9
8.700 0.200 C5 9
8.900 0.200 G4 9
9.100 0.100 A4 9
9.200 0.100 B4 9
9.300 0.100 C5 9
9.400 0.100 C#5 9
9.500 0.100 D5 9
9.600 0.200 E5 9
9.900 0.200 E5 9
10.200 0.200 E5 9
10.500 0.200 E5 9
10.800 0.200 D5 9
11.000 0.100 C5 9
11.100 0.200 D5 9
11.300 0.300 E5 9
11.600 0.100 F5 9
11.700 0.200 F#5 9
12.000 0.200 D5 9
12.200 0.100 C5 9
12.300 0.200 D5 9
12.500 0.300 E5 9
12.800 0.100 D5 9
12.900 0.200 C5 9
13.200 0.200 E5 9
13.400 0.100 D5 9
13.500 0.200 E5 9
13.700 0.300 F#5 9
14.000 0.100 E5 9
14.100 0.200 D5 9
14.700 0.200 G5 9
15.000 0.200 F#5 9
15.300 0.200 E5 9
15.600 0.200 D5 9
15.900 0.200 C5 9
16.200 0.200 B4 9
16.500 0.200 C5 9
16.700 0.100 C#5 9
16.800 0.200 D5 9
17.000 0.100 C5 9
17.100 0.200 D5 9
17.300 0.300 E5 9
17.600 0.100 D5 9
17.700 0.100 C#5 9
17.800 0.100 C5 9
17.900 0.100 B4 9
18.000 0.200 E5 9
18.200 0.100 D5 9
18.300 0.200 E5 9
18.500 0.300 F#5 9
18.800 0.100 E5 9
18.900 0.100 D5 9
19.000 0.100 C#5 9
19.100 0.100 D5 9
19.500 0.200 G5 9
19.800 0.200 F#5 9
20.100 0.200 E5 9
20.400 0.200 D5 9
20.700 0.200 D#5 9
21.000 0.100 E5 9
21.100 0.100 F5 9
21.200 0.100 F#5 9
21.300 0.100 F5 9
21.400 0.100 F#5 9
21.500 0.100 G5 9
21.600 0.200 F#5 9
21.800 0.100 G5 9
21.900 0.200 F5 9
22.100 0.300 E5 9
22.400 0.100 C5 9
22.500 0.300 G4 9
22.800 0.200 A4 9
23.000 0.100 B4 9
23.100 0.200 C5 9
23.300 0.100 G4 9
23.400 0.100 A4 9
23.500 0.100 B4 9
23.600 0.100 C5 9
23.700 0.200 G4 9
23.900 0.100 F4 9
24.000 0.200 E4 9
24.300 0.200 E4 9
24.600 0.200 E4 9
24.900 0.200 E4 9
25.200 0.200 D4 9
25.400 0.100 C4 9
25.500 0.200 D4 9
25.700 0.500 E4 9
26.400 0.200 F#5 9
26.600 0.100 G5 9
26.700 0.200 F5 9
26.900 0.300 E5 9
27.200 0.100 C5 9
27.300 0.300 G4 9
27.600 0.200 A4 9
27.800 0.100 B4 9
27.900 0.200 C5 9
28.100 0.200 G4 9
28.300 0.100 A4 9
28.400 0.100 B4 9
28.500 0.100 C5 9
28.600 0.100 C#5 9
28.700 0.100 D5 9
28.800 0.200 E5 9
29.100 0.200 E5 9
29.400 0.200 E5 9
29.700 0.200 E5 9
30.000 0.200 D5 9
30.200 0.100 C5 9
30.300 0.200 D5 9
30.500 0.300 E5 9
30.800 0.100 F5 9
30.900 0.200 F#5 9
31.200 0.200 D5 9
31.400 0.100 C5 9
31.500 0.200 D5 9
31.700 0.300 E5 9
32.000 0.100 D5 9
32.100 0.200 C5 9
32.400 0.200 E5 9
32.600 0.100 D5 9
32.700 0.200 E5 9
32.900 0.300 F#5 9
33.200 0.100 E5 9
33.300 0.200 D5 9
33.900 0.200 G5 9
34.200 0.200 F#5 9
34.500 0.200 E5 9
34.800 0.200 D5 9
35.100 0.200 C5 9
35.400 0.200 B4 9
35.700 0.200 C5 9
35.900 0.100 C#5 9
36.000 0.200 D5 9
36.200 0.100 C5 9
36.300 0.200 D5 9
