ducktales2.nsf track=7 framerate=60

Square1(316)
time dur note vol
0.000 0.117 A4 9
0.350 0.117 A4 9
0.700 0.233 F4 9
1.633 0.117 A4 9
1.983 0.117 A4 9
2.100 0.233 G#4 9
2.333 0.117 A4 9
2.450 0.233 G#4 9
2.683 0.117 A4 9
2.800 0.117 G#4 9
3.150 0.117 G#4 9
3.383 0.467 E4 9
4.433 0.117 D4 9
4.550 0.117 D#4 9
4.783 0.233 E4 9
5.600 0.117 G4 9
5.950 0.117 G4 9
6.300 0.233 E4 9
7.233 0.117 G4 9
7.583 0.117 G4 9
7.700 0.233 F#4 9
7.933 0.117 G4 9
8.050 0.233 F#4 9
8.283 0.117 G4 9
8.400 0.117 F4 9
8.750 0.117 F4 9
8.983 0.467 D4 9
10.033 0.117 C4 9
10.150 0.233 C#4 9
10.383 0.117 D4 9
11.200 0.117 A4 9
11.550 0.117 A4 9
11.900 0.233 F4 9
12.833 0.117 A4 9
13.183 0.117 A4 9
13.300 0.233 G#4 9
13.533 0.117 A4 9
13.650 0.233 G#4 9
13.883 0.117 A4 9
14.000 0.117 G#4 9
14.350 0.117 G#4 9
14.583 0.467 E4 9
15.633 0.117 D4 9
15.750 0.117 D#4 9
15.983 0.233 E4 9
16.800 0.117 G4 9
17.150 0.117 G4 9
17.500 0.233 E4 9
18.433 0.117 G4 9
18.783 0.117 G4 9
18.900 0.233 F#4 9
19.133 0.117 G4 9
19.250 0.233 F#4 9
19.483 0.117 G4 9
19.600 0.117 F4 9
19.950 0.117 F4 9
20.183 0.467 D4 9
21.233 0.117 C4 9
21.350 0.233 C#4 9
21.583 0.117 D4 9
21.933 0.117 E4 9
22.050 0.233 F4 9
22.283 0.117 F#4 9
22.400 0.233 G4 9
22.750 0.233 G4 9
23.100 0.233 G4 9
23.333 0.117 F#4 9
23.450 0.233 G4 9
23.683 0.350 A#4 9
24.500 0.233 A4 9
24.733 0.117 A#4 9
24.850 0.233 A4 9
25.083 0.117 G4 9
25.200 0.233 A4 9
25.550 0.233 A4 9
25.900 0.233 A4 9
26.133 0.117 F4 9
26.250 0.233 D4 9
26.483 0.350 F4 9
27.300 0.117 F4 9
27.417 0.117 G4 9
27.533 0.117 F4 9
27.650 0.233 D4 9
27.883 0.117 F4 9
28.000 0.233 G4 9
28.350 0.233 G4 9
28.700 0.233 G4 9
28.933 0.117 F#4 9
29.050 0.233 G4 9
29.283 0.233 A#4 9
29.633 0.117 F#4 9
29.750 0.233 G4 9
29.983 0.117 A#4 9
30.100 0.233 C5 9
30.333 0.117 C#5 9
