Castlevania.nsf track=2 framerate=60
Square1(306)
time dur note vol
0.000 1.733 D5 3
1.733 0.133 A4 3
1.867 0.133 C5 3
2.000 1.867 D5 3
3.867 0.133 A4 3
4.000 0.133 C5 3
4.133 0.133 D5 3
4.267 0.250 D4 7
4.533 0.250 D4 7
4.800 0.117 F4 7
4.933 0.383 A4 7
5.600 0.250 D4 7
5.867 0.117 G4 7
6.000 0.383 B4 7
6.400 0.250 D4 7
6.667 0.250 D4 7
6.933 0.117 F4 7
7.067 0.383 A4 7
8.000 0.117 A3 7
8.133 0.383 C4 7
8.533 0.250 D4 7
8.800 0.250 D4 7
9.067 0.117 F4 7
9.200 0.383 A4 7
9.867 0.250 D4 7
10.133 0.117 G4 7
10.267 0.383 B4 7
10.667 0.250 D4 7
10.933 0.250 D4 7
11.200 0.117 F4 7
11.333 0.383 A4 7
12.267 0.117 A3 7
12.400 0.383 C4 7
12.800 0.400 A4 3
13.200 0.933 D5 15
14.133 0.267 C#5 15
14.400 0.267 C5 15
14.667 0.267 B4 15
14.933 0.133 D5 15
15.067 0.133 E5 15
15.200 0.133 D5 15
15.333 1.733 A#4 15
17.067 0.400 A4 15
17.467 0.933 D5 15
18.400 0.267 C#5 15
18.667 0.267 C5 15
18.933 0.267 B4 15
19.200 0.133 D5 15
19.333 0.133 E5 15
19.467 0.133 D5 15
19.600 1.733 A#4 15
21.333 0.217 C5 5
21.600 0.083 C5 5
21.733 0.217 B4 5
22.000 0.083 B4 5
22.133 0.217 A#4 5
22.400 0.217 A4 5
22.667 0.083 A4 5
22.800 0.217 G#4 5
23.067 0.083 G#4 5
23.200 0.217 G4 5
23.467 0.350 F4 5
23.867 1.683 D4 5
25.600 0.217 C5 5
25.867 0.083 C5 5
26.000 0.217 B4 5
26.267 0.083 B4 5
26.400 0.217 A#4 5
26.667 0.217 A4 5
26.933 0.083 A4 5
27.067 0.217 G#4 5
27.333 0.083 G#4 5
27.467 0.217 G4 5
27.733 0.350 F4 5
28.133 1.683 D4 5
30.133 0.117 B3 7
30.267 0.117 B3 7
30.533 0.367 B3 7
30.933 0.500 A3 7
32.267 0.117 B3 7
32.400 0.117 B3 7
32.667 0.367 B3 7
33.067 0.500 A3 7
34.133 0.250 D4 7
34.400 0.250 D4 7
34.667 0.117 F4 7
34.800 0.383 A4 7
35.467 0.250 D4 7
35.733 0.117 G4 7
35.867 0.383 B4 7
36.267 0.250 D4 7
36.533 0.250 D4 7
36.800 0.117 F4 7
36.933 0.383 A4 7
37.867 0.117 A3 7
38.000 0.383 C4 7
38.400 0.250 D4 7
38.667 0.250 D4 7
38.933 0.117 F4 7
39.067 0.383 A4 7
39.733 0.250 D4 7
40.000 0.117 G4 7
40.133 0.383 B4 7
40.533 0.250 D4 7
40.800 0.250 D4 7
41.067 0.117 F4 7
41.200 0.383 A4 7
42.133 0.117 A3 7
42.267 0.383 C4 7
42.667 0.400 A4 3
43.067 0.933 D5 15
44.000 0.267 C#5 15
44.267 0.267 C5 15
44.533 0.267 B4 15
44.800 0.133 D5 15
44.933 0.133 E5 15
45.067 0.133 D5 15
45.200 1.733 A#4 15
46.933 0.400 A4 15
47.333 0.933 D5 15
48.267 0.267 C#5 15
48.533 0.267 C5 15
48.800 0.267 B4 15
49.067 0.133 D5 15
49.200 0.133 E5 15
49.333 0.133 D5 15
49.467 1.733 A#4 15
51.200 0.217 C5 5
51.467 0.083 C5 5
51.600 0.217 B4 5
51.867 0.083 B4 5
52.000 0.217 A#4 5
52.267 0.217 A4 5
52.533 0.083 A4 5
52.667 0.217 G#4 5
52.933 0.083 G#4 5
53.067 0.217 G4 5
53.333 0.350 F4 5
53.733 1.683 D4 5
55.467 0.217 C5 5
55.733 0.083 C5 5
55.867 0.217 B4 5
56.133 0.083 B4 5
56.267 0.217 A#4 5
56.533 0.217 A4 5
56.800 0.083 A4 5
56.933 0.217 G#4 5
57.200 0.083 G#4 5
57.333 0.217 G4 5
57.600 0.350 F4 5
58.000 1.683 D4 5
60.000 0.117 B3 7
60.133 0.117 B3 7
60.400 0.367 B3 7
60.800 0.500 A3 7
62.133 0.117 B3 7
62.267 0.117 B3 7
62.533 0.367 B3 7
62.933 0.500 A3 7
64.000 0.250 D4 7
64.267 0.250 D4 7
64.533 0.117 F4 7
64.667 0.383 A4 7
65.333 0.250 D4 7
65.600 0.117 G4 7
65.733 0.383 B4 7
66.133 0.250 D4 7
66.400 0.250 D4 7
66.667 0.117 F4 7
66.800 0.383 A4 7
67.733 0.117 A3 7
67.867 0.383 C4 7
68.267 0.250 D4 7
68.533 0.250 D4 7
68.800 0.117 F4 7
68.933 0.383 A4 7
69.600 0.250 D4 7
69.867 0.117 G4 7
70.000 0.383 B4 7
70.400 0.250 D4 7
70.667 0.250 D4 7
70.933 0.117 F4 7
71.067 0.383 A4 7
72.000 0.117 A3 7
72.133 0.383 C4 7
72.533 0.400 A4 3
72.933 0.933 D5 15
73.867 0.267 C#5 15
74.133 0.267 C5 15
74.400 0.267 B4 15
74.667 0.133 D5 15
74.800 0.133 E5 15
74.933 0.133 D5 15
75.067 1.733 A#4 15
76.800 0.400 A4 15
77.200 0.933 D5 15
78.133 0.267 C#5 15
78.400 0.267 C5 15
78.667 0.267 B4 15
78.933 0.133 D5 15
79.067 0.133 E5 15
79.200 0.133 D5 15
79.333 1.733 A#4 15
81.067 0.217 C5 5
81.333 0.083 C5 5
81.467 0.217 B4 5
81.733 0.083 B4 5
81.867 0.217 A#4 5
82.133 0.217 A4 5
82.400 0.083 A4 5
82.533 0.217 G#4 5
82.800 0.083 G#4 5
82.933 0.217 G4 5
83.200 0.350 F4 5
83.600 1.683 D4 5
85.333 0.217 C5 5
85.600 0.083 C5 5
85.733 0.217 B4 5
86.000 0.083 B4 5
86.133 0.217 A#4 5
86.400 0.217 A4 5
86.667 0.083 A4 5
86.800 0.217 G#4 5
87.067 0.083 G#4 5
87.200 0.217 G4 5
87.467 0.350 F4 5
87.867 1.683 D4 5
89.867 0.117 B3 7
90.000 0.117 B3 7
90.267 0.367 B3 7
90.667 0.500 A3 7
92.000 0.117 B3 7
92.133 0.117 B3 7
92.400 0.367 B3 7
92.800 0.500 A3 7
93.867 0.250 D4 7
94.133 0.250 D4 7
94.400 0.117 F4 7
94.533 0.383 A4 7
95.200 0.250 D4 7
95.467 0.117 G4 7
95.600 0.383 B4 7
96.000 0.250 D4 7
96.267 0.250 D4 7
96.533 0.117 F4 7
96.667 0.383 A4 7
97.600 0.117 A3 7
97.733 0.383 C4 7
98.133 0.250 D4 7
98.400 0.250 D4 7
98.667 0.117 F4 7
98.800 0.383 A4 7
99.467 0.250 D4 7
99.733 0.117 G4 7
99.867 0.383 B4 7
100.267 0.250 D4 7
100.533 0.250 D4 7
100.800 0.117 F4 7
100.933 0.383 A4 7
101.867 0.117 A3 7
102.000 0.383 C4 7
102.400 0.400 A4 3
102.800 0.933 D5 15
103.733 0.267 C#5 15
104.000 0.267 C5 15
104.267 0.267 B4 15
104.533 0.133 D5 15
104.667 0.133 E5 15
104.800 0.133 D5 15
104.933 1.733 A#4 15
106.667 0.400 A4 15
107.067 0.933 D5 15
108.000 0.267 C#5 15
108.267 0.267 C5 15
108.533 0.267 B4 15
108.800 0.133 D5 15
108.933 0.133 E5 15
109.067 0.133 D5 15
109.200 1.733 A#4 15
110.933 0.217 C5 5
111.200 0.083 C5 5
111.333 0.217 B4 5
111.600 0.083 B4 5
111.733 0.217 A#4 5
112.000 0.217 A4 5
112.267 0.083 A4 5
112.400 0.217 G#4 5
112.667 0.083 G#4 5
112.800 0.217 G4 5
113.067 0.350 F4 5
113.467 1.683 D4 5
115.200 0.217 C5 5
115.467 0.083 C5 5
115.600 0.217 B4 5
115.867 0.083 B4 5
116.000 0.217 A#4 5
116.267 0.217 A4 5
116.533 0.083 A4 5
116.667 0.217 G#4 5
116.933 0.083 G#4 5
117.067 0.217 G4 5
117.333 0.350 F4 5
117.733 1.683 D4 5
119.733 0.117 B3 7
119.867 0.117 B3 7
120.133 3.600 B3 7
Square2(294)
time dur note vol
0.000 0.267 D3 9
0.267 0.267 A3 9
0.533 0.267 D4 9
0.800 0.133 A3 9
0.933 0.267 C4 9
1.200 0.133 G3 9
1.333 0.400 B3 9
1.733 0.133 A2 9
1.867 0.133 C3 9
2.000 0.400 D3 9
2.400 0.267 A3 9
2.667 0.267 D4 9
2.933 0.133 A3 9
3.067 0.267 C4 9
3.333 0.133 G3 9
3.467 0.400 B3 9
3.867 0.133 A2 9
4.000 0.133 C3 9
4.133 0.133 D3 9
4.267 0.250 D3 8
4.533 0.250 D3 8
4.800 0.133 F3 8
4.933 0.133 A3 8
5.600 0.250 D3 8
5.867 0.133 G3 8
6.000 0.383 B3 8
6.400 0.250 D3 8
6.667 0.250 D3 8
6.933 0.133 F3 8
7.067 0.383 A3 8
8.000 0.133 A2 8
8.133 0.383 C3 8
8.533 0.250 D3 8
8.800 0.250 D3 8
9.067 0.133 F3 8
9.200 0.133 A3 8
9.867 0.250 D3 8
10.133 0.133 G3 8
10.267 0.383 B3 8
10.667 0.250 D3 8
10.933 0.250 D3 8
11.200 0.133 F3 8
11.333 0.383 A3 8
12.267 0.133 A2 8
12.400 0.383 C3 8
12.800 0.400 D5 3
13.200 1.733 A5 15
14.933 0.133 G#5 15
15.067 0.133 A5 15
15.200 0.133 G#5 15
15.333 1.733 F5 15
17.067 0.400 D5 15
17.467 1.733 A5 15
19.200 0.133 G#5 15
19.333 0.133 A5 15
19.467 0.133 G#5 15
19.600 1.733 F5 15
21.333 0.233 C5 6
21.600 0.100 C5 6
21.733 0.233 B4 6
22.000 0.100 B4 6
22.133 0.233 A#4 6
22.400 0.233 A4 6
22.667 0.100 A4 6
22.800 0.233 G#4 6
23.067 0.100 G#4 6
23.200 0.233 G4 6
23.467 0.367 F4 6
23.867 1.700 D4 6
25.600 0.233 C5 6
25.867 0.100 C5 6
26.000 0.233 B4 6
26.267 0.100 B4 6
26.400 0.233 A#4 6
26.667 0.233 A4 6
26.933 0.100 A4 6
27.067 0.233 G#4 6
27.333 0.100 G#4 6
27.467 0.233 G4 6
27.733 0.367 F4 6
28.133 1.700 D4 6
30.133 0.117 D5 7
30.267 0.117 D5 7
30.533 0.367 D5 7
30.933 0.233 C#5 7
32.267 0.117 D5 7
32.400 0.117 D5 7
32.667 0.367 D5 7
33.067 0.233 C#5 7
34.133 0.250 D3 8
34.400 0.250 D3 8
34.667 0.133 F3 8
34.800 0.133 A3 8
35.467 0.250 D3 8
35.733 0.133 G3 8
35.867 0.383 B3 8
36.267 0.250 D3 8
36.533 0.250 D3 8
36.800 0.133 F3 8
36.933 0.383 A3 8
37.867 0.133 A2 8
38.000 0.383 C3 8
38.400 0.250 D3 8
38.667 0.250 D3 8
38.933 0.133 F3 8
39.067 0.133 A3 8
39.733 0.250 D3 8
40.000 0.133 G3 8
40.133 0.383 B3 8
40.533 0.250 D3 8
40.800 0.250 D3 8
41.067 0.133 F3 8
41.200 0.383 A3 8
42.133 0.133 A2 8
42.267 0.383 C3 8
42.667 0.400 D5 3
43.067 1.733 A5 15
44.800 0.133 G#5 15
44.933 0.133 A5 15
45.067 0.133 G#5 15
45.200 1.733 F5 15
46.933 0.400 D5 15
47.333 1.733 A5 15
49.067 0.133 G#5 15
49.200 0.133 A5 15
49.333 0.133 G#5 15
49.467 1.733 F5 15
51.200 0.233 C5 6
51.467 0.100 C5 6
51.600 0.233 B4 6
51.867 0.100 B4 6
52.000 0.233 A#4 6
52.267 0.233 A4 6
52.533 0.100 A4 6
52.667 0.233 G#4 6
52.933 0.100 G#4 6
53.067 0.233 G4 6
53.333 0.367 F4 6
53.733 1.700 D4 6
55.467 0.233 C5 6
55.733 0.100 C5 6
55.867 0.233 B4 6
56.133 0.100 B4 6
56.267 0.233 A#4 6
56.533 0.233 A4 6
56.800 0.100 A4 6
56.933 0.233 G#4 6
57.200 0.100 G#4 6
57.333 0.233 G4 6
57.600 0.367 F4 6
58.000 1.700 D4 6
60.000 0.117 D5 7
60.133 0.117 D5 7
60.400 0.367 D5 7
60.800 0.233 C#5 7
62.133 0.117 D5 7
62.267 0.117 D5 7
62.533 0.367 D5 7
62.933 0.233 C#5 7
64.000 0.250 D3 8
64.267 0.250 D3 8
64.533 0.133 F3 8
64.667 0.133 A3 8
65.333 0.250 D3 8
65.600 0.133 G3 8
65.733 0.383 B3 8
66.133 0.250 D3 8
66.400 0.250 D3 8
66.667 0.133 F3 8
66.800 0.383 A3 8
67.733 0.133 A2 8
67.867 0.383 C3 8
68.267 0.250 D3 8
68.533 0.250 D3 8
68.800 0.133 F3 8
68.933 0.133 A3 8
69.600 0.250 D3 8
69.867 0.133 G3 8
70.000 0.383 B3 8
70.400 0.250 D3 8
70.667 0.250 D3 8
70.933 0.133 F3 8
71.067 0.383 A3 8
72.000 0.133 A2 8
72.133 0.383 C3 8
72.533 0.400 D5 3
72.933 1.733 A5 15
74.667 0.133 G#5 15
74.800 0.133 A5 15
74.933 0.133 G#5 15
75.067 1.733 F5 15
76.800 0.400 D5 15
77.200 1.733 A5 15
78.933 0.133 G#5 15
79.067 0.133 A5 15
79.200 0.133 G#5 15
79.333 1.733 F5 15
81.067 0.233 C5 6
81.333 0.100 C5 6
81.467 0.233 B4 6
81.733 0.100 B4 6
81.867 0.233 A#4 6
82.133 0.233 A4 6
82.400 0.100 A4 6
82.533 0.233 G#4 6
82.800 0.100 G#4 6
82.933 0.233 G4 6
83.200 0.367 F4 6
83.600 1.700 D4 6
85.333 0.233 C5 6
85.600 0.100 C5 6
85.733 0.233 B4 6
86.000 0.100 B4 6
86.133 0.233 A#4 6
86.400 0.233 A4 6
86.667 0.100 A4 6
86.800 0.233 G#4 6
87.067 0.100 G#4 6
87.200 0.233 G4 6
87.467 0.367 F4 6
87.867 1.700 D4 6
89.867 0.117 D5 7
90.000 0.117 D5 7
90.267 0.367 D5 7
90.667 0.233 C#5 7
92.000 0.117 D5 7
92.133 0.117 D5 7
92.400 0.367 D5 7
92.800 0.233 C#5 7
93.867 0.250 D3 8
94.133 0.250 D3 8
94.400 0.133 F3 8
94.533 0.133 A3 8
95.200 0.250 D3 8
95.467 0.133 G3 8
95.600 0.383 B3 8
96.000 0.250 D3 8
96.267 0.250 D3 8
96.533 0.133 F3 8
96.667 0.383 A3 8
97.600 0.133 A2 8
97.733 0.383 C3 8
98.133 0.250 D3 8
98.400 0.250 D3 8
98.667 0.133 F3 8
98.800 0.133 A3 8
99.467 0.250 D3 8
99.733 0.133 G3 8
99.867 0.383 B3 8
100.267 0.250 D3 8
100.533 0.250 D3 8
100.800 0.133 F3 8
100.933 0.383 A3 8
101.867 0.133 A2 8
102.000 0.383 C3 8
102.400 0.400 D5 3
102.800 1.733 A5 15
104.533 0.133 G#5 15
104.667 0.133 A5 15
104.800 0.133 G#5 15
104.933 1.733 F5 15
106.667 0.400 D5 15
107.067 1.733 A5 15
108.800 0.133 G#5 15
108.933 0.133 A5 15
109.067 0.133 G#5 15
109.200 1.733 F5 15
110.933 0.233 C5 6
111.200 0.100 C5 6
111.333 0.233 B4 6
111.600 0.100 B4 6
111.733 0.233 A#4 6
112.000 0.233 A4 6
112.267 0.100 A4 6
112.400 0.233 G#4 6
112.667 0.100 G#4 6
112.800 0.233 G4 6
113.067 0.367 F4 6
113.467 1.700 D4 6
115.200 0.233 C5 6
115.467 0.100 C5 6
115.600 0.233 B4 6
115.867 0.100 B4 6
116.000 0.233 A#4 6
116.267 0.233 A4 6
116.533 0.100 A4 6
116.667 0.233 G#4 6
116.933 0.100 G#4 6
117.067 0.233 G4 6
117.333 0.367 F4 6
117.733 1.700 D4 6
119.733 0.117 D5 7
119.867 0.117 D5 7
120.133 3.600 D5 7
Triangle(530)
time dur note vol
0.000 0.083 D4 15
0.133 0.083 D4 15
0.267 0.083 D4 15
0.400 0.083 D4 15
0.533 0.083 D4 15
0.667 0.083 D4 15
0.800 0.083 D4 15
0.933 0.083 D4 15
1.067 0.083 D4 15
1.200 0.083 D4 15
1.333 0.083 D4 15
1.467 0.083 D4 15
1.600 0.083 D4 15
1.733 0.083 A3 15
1.867 0.083 C4 15
2.000 0.083 D4 15
2.133 0.083 D4 15
2.267 0.083 D4 15
2.400 0.083 D4 15
2.533 0.083 D4 15
2.667 0.083 D4 15
2.800 0.083 D4 15
2.933 0.083 D4 15
3.067 0.083 D4 15
3.200 0.083 D4 15
3.333 0.083 D4 15
3.467 0.083 D4 15
3.600 0.083 D4 15
3.733 0.083 D4 15
3.867 0.083 A3 15
4.000 0.083 C4 15
4.133 0.083 D4 15
4.267 0.167 D3 15
4.533 0.167 D3 15
4.800 0.133 F3 15
4.933 0.167 A3 15
5.600 0.167 D3 15
5.867 0.133 G3 15
6.000 0.300 B3 15
6.400 0.167 D3 15
6.667 0.167 D3 15
6.933 0.133 F3 15
7.067 0.167 A3 15
8.000 0.133 A3 15
8.133 0.400 C4 15
8.533 0.167 D3 15
8.800 0.167 D3 15
9.067 0.133 F3 15
9.200 0.167 A3 15
9.867 0.167 D3 15
10.133 0.133 G3 15
10.267 0.300 B3 15
10.667 0.167 D3 15
10.933 0.167 D3 15
11.200 0.133 F3 15
11.333 0.167 A3 15
12.267 0.133 A3 15
12.400 0.400 C4 15
12.800 0.100 D4 15
13.067 0.083 D4 15
13.333 0.100 F4 15
