supermario.nsf track=7 framerate=60

Square1(107)
time dur note vol
0.000 0.017 A4 14
0.017 0.017 G#4 12
0.033 0.017 G4 11
0.050 0.017 A#4 14
0.067 0.017 A4 12
0.083 0.017 G#4 11
0.100 0.017 B4 14
0.117 0.017 A#4 12
0.133 0.017 A4 11
0.150 0.017 G#4 8
0.167 0.017 G4 4
0.600 0.017 F#4 14
0.617 0.017 F4 12
0.633 0.017 E4 11
0.650 0.017 D#4 10
0.667 0.017 D4 8
0.683 0.017 C#4 7
0.700 0.017 C4 6
0.717 0.017 B3 4
0.733 0.017 A#3 3
0.750 0.017 C#5 14
0.767 0.017 C5 12
0.783 0.017 B4 11
0.800 0.017 A#4 10
0.817 0.017 A4 8
0.833 0.017 G#4 7
0.850 0.017 G4 6
0.867 0.017 F#4 4
0.883 0.017 F4 3
0.900 0.017 E4 2
1.050 0.017 C#5 14
1.067 0.017 C5 12
1.083 0.017 B4 11
1.100 0.017 A#4 10
1.117 0.017 A4 8
1.133 0.017 G#4 7
1.150 0.017 G4 6
1.167 0.017 F#4 4
1.183 0.017 F4 3
1.200 0.017 C#5 14
1.217 0.017 C5 12
1.233 0.017 B4 11
1.250 0.017 A#4 10
1.267 0.017 A4 8
1.283 0.017 G#4 7
1.300 0.017 G4 6
1.317 0.017 F#4 4
1.333 0.017 F4 3
1.350 0.017 E4 2
1.400 0.017 B4 14
1.417 0.017 A#4 12
1.433 0.017 A4 11
1.450 0.017 G#4 10
1.467 0.017 G4 8
1.483 0.017 F#4 7
1.500 0.017 F4 6
1.517 0.017 E4 4
1.533 0.017 D#4 3
1.550 0.017 D4 2
1.600 0.017 A#4 14
1.617 0.017 A4 12
1.633 0.017 G#4 11
1.650 0.017 G4 10
1.667 0.017 F#4 8
1.683 0.017 F4 7
1.700 0.017 E4 6
1.717 0.017 D#4 4
1.733 0.017 D4 3
1.750 0.017 C#4 2
1.800 0.017 F#4 14
1.817 0.017 F4 12
1.833 0.017 E4 11
1.850 0.017 D#4 10
1.867 0.017 D4 8
1.883 0.017 C#4 7
1.900 0.017 C4 6
1.917 0.017 B3 4
1.933 0.017 A#3 3
1.950 0.017 D#4 14
1.967 0.017 D4 12
1.983 0.017 C#4 11
2.000 0.017 C4 10
2.017 0.017 B3 8
2.033 0.017 A#3 7
2.050 0.017 A3 6
2.067 0.017 G#3 4
2.083 0.017 G3 3
2.100 0.017 F#3 2
2.250 0.017 D#4 14
2.267 0.017 D4 12
2.283 0.017 C#4 11
2.300 0.017 C4 10
2.317 0.017 B3 8
2.333 0.017 A#3 7
2.350 0.017 A3 6
2.367 0.017 G#3 4
2.383 0.017 G3 3
2.400 0.017 B3 14
2.417 0.017 A#3 12
2.433 0.017 A3 11
2.450 0.017 G#3 10
2.467 0.017 G3 8
2.483 0.017 F#3 7
2.500 0.017 F3 6
2.517 0.017 E3 4
2.533 0.017 D#3 3
2.550 0.017 D3 2

Square2(7)
time dur note vol
0.600 0.150 B4 14
0.750 0.150 F5 14
0.900 0.050 F5 2
1.050 0.317 F5 14
1.400 0.167 E5 14
1.600 0.167 D5 14
1.800 0.167 C5 14

Triangle(8)
time dur note vol
0.600 0.133 G4 15
1.050 0.133 G4 15
1.200 0.133 G4 15
1.400 0.133 A4 15
1.600 0.133 B4 15
1.800 0.133 C5 15
2.100 0.133 G4 15
2.400 0.133 C4 15
