jackal.nsf track=4 framerate=60
Square1(122)
time dur note vol
0.000 0.400 C2 6
0.400 0.400 C#2 8
0.800 0.400 D2 10
1.200 0.400 D#2 12
1.600 0.100 B4 7
1.700 0.100 E4 7
1.800 0.100 B3 7
1.900 0.300 E3 10
2.200 0.100 E2 8
2.300 0.100 B2 8
2.400 0.100 E3 8
2.500 0.100 C5 8
2.600 0.100 F4 8
2.700 0.100 C4 8
2.800 0.300 F3 10
3.100 0.100 F2 8
3.200 0.100 C3 8
3.300 0.100 F3 8
3.400 0.100 C#5 8
3.500 0.100 F#4 8
3.600 0.100 C#4 8
3.700 0.300 F#3 10
4.000 0.100 C#3 8
4.100 0.100 F#3 8
4.200 0.100 C#4 8
4.300 0.200 G3 15
4.500 0.067 G#3 15
4.567 0.067 A#3 15
4.633 0.067 B3 15
4.700 0.067 C#4 15
4.767 0.067 D4 15
4.833 0.067 E4 15
4.900 0.067 F4 15
4.967 0.067 G4 15
5.033 0.067 G#4 15
5.100 0.200 A2 8
5.300 0.100 A3 7
5.400 0.200 A2 8
5.600 0.100 A3 7
5.700 0.200 A2 8
5.900 0.100 A3 7
6.000 0.200 A2 8
6.200 0.100 A3 7
6.300 0.200 A2 8
6.500 0.100 A3 7
6.600 0.300 A2 8
6.900 0.100 A3 7
7.000 0.200 A2 8
7.200 0.100 A3 7
7.300 0.200 A2 8
7.500 0.100 A3 7
7.600 0.200 A2 8
7.800 0.100 A3 7
7.900 0.200 A2 8
8.100 0.100 A3 7
8.200 0.300 A2 8
8.500 0.100 A3 7
8.600 0.200 A2 8
8.800 0.100 A3 7
8.900 0.200 A2 8
9.100 0.100 A3 7
9.200 0.200 A2 8
9.400 0.100 A3 7
9.500 0.200 A2 8
9.700 0.100 A3 7
9.800 0.300 A2 8
10.100 0.100 A3 7
10.200 0.200 A2 8
10.400 0.100 A3 7
10.500 0.200 A2 8
10.700 0.100 A3 7
10.800 0.200 A2 8
11.000 0.100 A3 7
11.100 0.200 A2 8
11.300 0.100 A3 7
11.400 0.100 A2 8
11.417 BEGIN_CYCLE
11.500 1.100 C4 7
12.600 0.200 E3 5
12.800 0.100 G3 15
12.900 0.100 A3 15
13.000 0.100 C4 15
13.100 1.100 D4 7
14.200 0.300 D3 5
14.500 0.100 F#3 15
14.600 0.100 A3 15
14.700 1.100 F4 7
15.800 0.300 F3 5
16.100 0.100 A3 15
