Jackal.nsf track=6 framerate=60
Square1(20)
time dur note vol
0.000 0.133 C5 8
4.300 0.017 10 2 tom_low
4.317 0.033 13 15 kick_deep
4.550 0.017 9 6 tom
4.567 0.017 10 2 tom_low
4.583 0.033 13 15 kick_deep
4.700 0.017 7 7 snare_deep
4.717 0.017 8 5 tom_high
4.750 0.017 7 7 snare_deep
4.767 0.017 8 5 tom_high
4.783 0.017 9 3 tom
4.817 0.017 7 7 snare_deep
4.833 0.017 8 5 tom_high
4.850 0.017 9 3 tom
4.867 0.033 10 2 tom_low
4.950 0.017 7 7 snare_deep
4.967 0.017 8 5 tom_high
4.983 0.017 9 3 tom
5.000 0.033 10 2 tom_low
5.083 0.017 7 7 snare_deep
5.100 0.017 8 5 tom_high
5.117 0.017 9 3 tom
5.133 0.033 10 2 tom_low
5.217 0.017 7 7 snare_deep
5.233 0.017 8 5 tom_high
5.250 0.017 9 3 tom
5.267 0.033 10 2 tom_low
5.500 0.017 7 7 snare_deep
5.517 0.017 8 5 tom_high
5.550 0.017 7 7 snare_deep
5.567 0.017 8 5 tom_high
5.583 0.017 9 3 tom
5.617 0.017 7 7 snare_deep
5.633 0.017 8 5 tom_high
5.650 0.017 9 3 tom
5.667 0.033 10 2 tom_low
5.750 0.017 7 7 snare_deep
5.767 0.017 8 5 tom_high
5.783 0.017 9 3 tom
5.800 0.033 10 2 tom_low
5.883 0.017 7 7 snare_deep
5.900 0.017 8 5 tom_high
5.917 0.017 9 3 tom
5.933 0.033 10 2 tom_low
6.017 0.017 7 7 snare_deep
6.033 0.017 8 5 tom_high
6.050 0.017 9 3 tom
6.067 0.033 10 2 tom_low
DPCM(31)
time dur note vol
0.400 0.033 C5 15
0.800 0.033 C5 15
1.200 0.033 C5 15
1.483 0.033 C5 15
1.533 0.033 C5 15
1.600 0.033 C5 15
1.733 0.033 C5 15
1.867 0.033 C5 15
2.000 0.033 C5 15
2.400 0.033 C5 15
2.800 0.033 C5 15
2.933 0.033 C5 15
3.067 0.033 C5 15
3.200 0.033 C5 15
3.333 0.033 C5 15
3.467 0.033 C5 15
3.600 0.033 C5 15
4.000 0.033 C5 15
4.400 0.033 C5 15
4.683 0.033 C5 15
4.733 0.033 C5 15
4.800 0.033 C5 15
4.933 0.033 C5 15
5.067 0.033 C5 15
5.200 0.033 C5 15
5.483 0.033 C5 15
5.533 0.033 C5 15
5.600 0.033 C5 15
5.733 0.033 C5 15
5.867 0.033 C5 15
6.000 0.033 C5 15
